group_column,group_value,n,diabetes_cases,recall,precision,f1,balanced_accuracy
RIAGENDR,1.0,893,196,0.7959,0.4052,0.537,0.7337
RIAGENDR,2.0,954,168,0.7381,0.3804,0.502,0.7405
RIDRETH3,1.0,210,50,0.86,0.43,0.5733,0.7519
RIDRETH3,2.0,179,43,0.7209,0.4366,0.5439,0.7134
RIDRETH3,3.0,679,113,0.7611,0.3539,0.4831,0.7418
RIDRETH3,4.0,466,98,0.7755,0.4086,0.5352,0.7383
RIDRETH3,6.0,217,46,0.6957,0.4,0.5079,0.7075
RIDRETH3,7.0,96,14,0.8571,0.3871,0.5333,0.8127
DMDEDUC2,1.0,157,52,0.9231,0.4068,0.5647,0.6282
DMDEDUC2,2.0,206,49,0.8571,0.42,0.5638,0.7439
DMDEDUC2,3.0,428,87,0.8046,0.4217,0.5534,0.7615
DMDEDUC2,4.0,595,97,0.701,0.3434,0.461,0.72
DMDEDUC2,5.0,460,79,0.6582,0.4062,0.5024,0.7294
